Game,Team 1,Team 2,Winner goes to
1,LIU Brooklyn,Radford,21
2,St. Bonaventure,UCLA,25
3,NC Central,Texas Southern,13
4,Arizona State,Syracuse,33
5,Virginia,UMBC,37
6,Creighton,Kansas State,37
7,Kentucky,Davidson,38
8,Arizona,Buffalo,38
9,Miami,Loyola-Chicago,39
10,Tennessee,Wright State,39
11,Nevada,Texas,40
12,Cincinnati,Georgia State,40
13,Xavier,,41
14,Missouri,Florida State,41
15,Ohio State,South Dakota State,42
16,Gonzaga,NC Greensboro,42
17,Houston,San Diego State,43
18,Michigan,Montana,43
19,Texas A&M,Providence,44
20,North Carolina,Lipscomb,44
21,Villanova,,45
22,Virginia Tech,Alabama,45
23,West Virginia,Murray State,46
24,Wichita State,Marshall,46
25,Florida,,47
26,Texas Tech,Stephen F. Austin,47
27,Arkansas,Butler,48
28,Purdue,Cal State Fullerton,48
29,Kansas,Penn,49
30,Seton Hall,NC State,49
31,Clemson,New Mexico State,50
32,Auburn,Charleston,50
33,TCU,,51
34,Michigan State,Bucknell,51
35,Rhode Island,Oklahoma,52
36,Duke,Iona,52
37,,,53
38,,,53
39,,,54
40,,,54
41,,,55
42,,,55
43,,,56
44,,,56
45,,,57
46,,,57
47,,,58
48,,,58
49,,,59
50,,,59
51,,,60
52,,,60
53,,,61
54,,,61
55,,,62
56,,,62
57,,,63
58,,,63
59,,,64
60,,,64
61,,,65
62,,,65
63,,,66
64,,,66
65,,,67
66,,,67
67,,,-1
